username,created_at,lng,lat,text, ,,
cydruc, Thu Apr 23 17:31:57 +0000 2020,-120.882482,47.273022, @DavidAgStone @USAvotesTrump @JoeBiden @sunrisemvmt Creepy. ,,,
renesarmiento19, Thu Apr 23 17:31:59 +0000 2020,-122.405221,48.746091, #TatatiuLegends saludos y un abrazo 🤗! ,,,
chelsienoel_, Thu Apr 23 17:32:01 +0000 2020,-122.330602,47.614817, @kallenhawkinson @kevinpalau @EveryChildOR @Qideas Yes! Great example of true service. ,,,
trexgirl, Thu Apr 23 17:32:02 +0000 2020,-122.330602,47.614817, @cmclymer Feels like a lifetime ago ,,,
juliahosack, Thu Apr 23 17:32:01 +0000 2020,-122.588975,45.630589, @Tyranicus All of the above. ,,,
mynxnuzzles, Thu Apr 23 17:32:04 +0000 2020,-114.143262,45.494552, @GaryBarlow Oh, shit! I'm dead!🤣🤣🤣🤣 ,,
OlivasAimee, Thu Apr 23 17:32:08 +0000 2020,-122.630908,45.536402, Me: I don’t ever watch tv.Also me: stays up until 4am and watches all episodes of the Leeds United documentary in one night 🤦🏻‍♀️ ,,,
SensitivityFree, Thu Apr 23 17:32:09 +0000 2020,-122.630908,45.536402, @CESmith0770 Hahah yo this dude is a G 😆 https://t.co/cQBavexL2o ,,,
vvalecillosg, Thu Apr 23 17:32:11 +0000 2020,-122.205946,47.773496, https://t.co/kr54jZsrgr ,,,
johannabrown, Thu Apr 23 17:32:16 +0000 2020,-114.143262,45.494552, @nate_bowling I’ll always hate 1 and 2. But there is something especially deceptive about 4 that makes my skin crawl. ,,,
50Jukes, Thu Apr 23 17:32:18 +0000 2020,-120.500256,46.554186, Who want the💨 https://t.co/WC3gah03zC ,,,
glitzylady, Thu Apr 23 17:32:20 +0000 2020,-122.096397,47.992142, @SweetReunion22 My hubby and I shared it https://t.co/qrqIqTLtVU ,,,
LG_Villanueva, Thu Apr 23 17:32:23 +0000 2020,-122.630908,45.536402, @tavio17h Lovecraft?? 🤔 ,,,
SensitivityFree, Thu Apr 23 17:32:23 +0000 2020,-122.630908,45.536402, @teddyshrew He sleeping bro 😂 ,,,
BellantoniMarco, Thu Apr 23 17:32:26 +0000 2020,-117.154269,46.730822, Some of my winter, fall and summer clips. Really missing ⚾️. Please let us back on the field. @crewathletics… https://t.co/M1ZhvhqMQU ,,
garden0fweedn, Thu Apr 23 17:32:27 +0000 2020,-122.330602,47.614817, what f word must i remind today that they’re simply sexist for being a man. https://t.co/F5B9OVpx4W ,,,
BobbieJoWicks, Thu Apr 23 17:32:28 +0000 2020,-123.110278,44.384444, My favorite dessert on my keto menu... feels like I am cheating cuz 1)it tastes like a desert &amp; 2) it is so decaden… https://t.co/wd3CxQSlEU ,,,
SensitivityFree, Thu Apr 23 17:32:30 +0000 2020,-122.630908,45.536402, @paul_bergum Agreed 😂 ,,,
MilyVanilly, Thu Apr 23 17:32:33 +0000 2020,-122.971884,46.72729, Coach @WomackWeylin is always there.  Attitude adjusted. https://t.co/EjNYk8purm ,,,
ChrisKr50672344, Thu Apr 23 17:32:48 +0000 2020,-122.702686,47.68374, Oh...and your master isn’t?Puuulleez...do you pay attention to anything but Fox News?    Change the channel!… https://t.co/DDNHTqWo5C ,,,
cinnamon1945, Thu Apr 23 17:32:50 +0000 2020,-120.882482,47.273022, @BrandiKruse yeah your government releasing prisoners but keeping law abiding citizens imprisoned ,,,
killascilla_, Thu Apr 23 17:32:50 +0000 2020,-114.143262,45.494552, And making national news specifically bc she’s w-h-i-t-e. https://t.co/Y5l9BhAjjr ,,,
knoxmecon, Thu Apr 23 17:32:57 +0000 2020,-122.330602,47.614817, @Josh_Merfeld What, you’re not using the pandemic as an opportunity to read all those papers you’ve always meant to read?? ,,
wardrobewarrior, Thu Apr 23 17:32:59 +0000 2020,-122.265666,47.138004, This statement just about sums it up so far this year! Lol😂 #oratrain #lookinalldirections #surprise @ Hurter House https://t.co/KYOwpXvbAh ,,,
Michael18Kahn, Thu Apr 23 17:32:59 +0000 2020,-122.757723,45.486294, https://t.co/3BoBkQ2KMh ,,,
ness1427, Thu Apr 23 17:33:00 +0000 2020,-122.164527,48.088757, this boy of mine brought me breakfast in bed 🥺 ,,,
_NancyMD, Thu Apr 23 17:33:01 +0000 2020,-122.630908,45.536402, Here in #pdx, members of our #Chinese commitment has been hard at work. #COVID19 #PPE #PPENow #communityspirit https://t.co/0JCMurUyaw ,,
cydruc, Thu Apr 23 17:33:02 +0000 2020,-120.882482,47.273022, @HermanM36169986 @Dkmorris0204 I'm about to teach my husband how to cut my hair!!!! ,,,
kevjksull, Thu Apr 23 17:33:09 +0000 2020,-122.795782,45.533126, @nxq7tv @jcjlee @andrewnhem curved or straight monitor? ,,,
Tyloading9, Thu Apr 23 17:33:13 +0000 2020,-120.882482,47.273022, Guys with no facial not affected by this at all 🤦🏾‍♂️ ,,,
SensitivityFree, Thu Apr 23 17:33:16 +0000 2020,-122.630908,45.536402, @paul_bergum Yea dude I’d need a gun or I’d be using my pepper spray and going for the balls and eyes. Dude gonna… https://t.co/2Gdjm7PqHv ,,,
ShedrackFubara, Thu Apr 23 17:33:17 +0000 2020,-115.001129,54.4987, The story of Nigeria told in picture. I weep for the ordinary man &amp; woman on the streets. Unfortunately the feeding… https://t.co/F5jmHzywnf ,,,
ericaberry2001, Thu Apr 23 17:33:19 +0000 2020,-122.218075,47.392311, @hockeyphreak @ohshlebs That was such a crazy game to watch. I was sort of barely paying attention, then all of a sudden BAM. ,,
xoxomagui3, Thu Apr 23 17:33:19 +0000 2020,-122.93553,45.530779, Idk why but for some FUCKING STUPID ASS reason guys become less attractive to me when they start being lovey dovey… https://t.co/K9hMsjlQ49 ,,,
realityunf0lds, Thu Apr 23 17:33:30 +0000 2020,-122.630908,45.536402, @a_giardini now I HAVE to know ,,,
topshelfrecords, Thu Apr 23 17:33:42 +0000 2020,-122.630908,45.536402, @itsaddy @allbageldiet hahahaha losing it over wasps ,,,
ericaberry2001, Thu Apr 23 17:33:42 +0000 2020,-122.218075,47.392311, Craziest game I’ve ever watched tbh ,,,
BugHunt, Thu Apr 23 17:33:45 +0000 2020,-122.163996,47.530428, @OhNoSheTwitnt @LOLGOP 🤣😆😁 ,,,
